723	213	1
723	726	1
851	50	1
851	305	1
540	455	1
540	12	1
540	406	10
540	48	10
418	698	1
418	412	10
418	280	1
418	316	10
418	858	10
25	89	10
25	725	10
25	162	1
25	513	10
25	105	10
491	129	10
491	67	10
491	445	10
491	354	1
491	561	10
491	806	10
650	355	10
650	434	10
650	475	10
650	725	10
650	190	10
650	934	10
650	290	10
650	5	10
650	318	10
303	786	10
303	555	10
634	78	10
634	132	1
634	413	1
634	745	1
634	553	1
213	176	1
590	434	1
590	22	1
142	302	1
142	469	10
716	25	1
716	688	1
716	632	1
716	131	1
716	888	1
716	233	1
716	821	1
716	801	1
3	446	1
3	624	1
3	257	10
3	481	1
3	100	10
657	788	1
657	185	1
657	384	1
657	500	1
657	867	1
544	25	10
544	196	10
544	821	10
544	812	10
676	534	1
676	823	1
676	404	1
676	195	1
729	322	10
729	871	10
729	325	10
729	292	10
729	568	10
729	414	10
557	352	1
557	176	1
575	325	1
575	112	10
99	431	10
99	501	10
99	725	10
214	254	10
214	890	10
214	810	10
214	728	10
214	561	10
214	522	10
214	608	10
661	766	1
735	181	10
735	579	10
735	818	10
345	544	10
345	347	10
345	431	10
345	417	1
345	501	10
345	798	1
345	434	10
345	690	1
345	837	1
345	324	10
345	223	1
345	8	10
345	937	10
345	500	1
345	190	10
345	488	1
345	934	10
345	290	10
345	318	10
93	570	1
93	432	1
366	914	1
446	819	1
446	815	1
446	823	1
493	501	10
373	431	10
373	501	10
373	355	10
373	762	1
373	190	10
373	510	1
373	934	10
373	290	10
373	318	10
373	350	1
373	694	1
462	202	1
462	653	1
462	247	1
709	220	1
709	753	1
709	757	1
709	689	1
861	819	1
861	815	1
861	605	1
861	823	1
861	838	1
861	683	1
523	118	1
523	272	1
523	516	1
523	739	10
523	399	1
523	361	1
523	721	1
523	199	1
296	912	10
296	864	10
254	610	1
254	106	1
254	233	10
254	568	10
621	657	1
621	695	10
621	569	1
621	811	1
621	560	10
621	468	1
621	904	10
621	816	1
621	95	10
621	88	10
621	742	1
621	420	1
788	716	1
788	401	1
788	152	1
788	189	1
788	499	1
328	430	1
328	218	1
610	637	1
610	221	1
86	173	1
695	117	1
695	167	1
30	412	10
30	342	10
697	642	10
697	803	10
87	866	10
87	339	10
564	712	10
26	412	10
26	155	10
26	900	10
550	735	10
550	744	10
550	762	10
550	623	10
427	678	10
427	132	10
617	663	10
617	359	10
637	847	1
642	729	10
642	774	10
848	155	10
848	342	10
542	48	10
248	382	1
248	327	1
248	762	1
248	162	1
248	477	1
248	70	1
248	226	1
401	25	1
401	138	1
401	821	1
401	465	1
401	801	1
688	534	1
688	823	1
688	702	1
688	898	1
632	129	10
632	534	1
632	823	1
632	22	1
632	413	1
632	864	1
632	275	1
536	18	1
335	871	1
335	459	1
335	826	1
335	514	10
347	574	10
347	103	10
698	121	1
235	788	1
235	569	1
235	866	1
235	816	1
235	102	1
235	231	1
235	558	1
235	742	1
235	874	1
9	95	10
9	117	1
9	167	1
9	647	10
182	596	10
182	555	10
182	196	10
408	851	1
408	841	1
726	590	1
726	352	1
789	417	1
789	690	1
789	837	1
789	223	1
789	488	1
770	131	1
770	165	1
770	404	1
770	403	10
770	166	10
651	491	1
651	698	1
651	797	1
651	280	1
651	61	1
651	278	1
651	659	10
651	479	10
710	678	10
710	132	10
710	146	10
710	319	10
710	96	10
710	531	10
643	590	1
643	59	1
643	656	1
643	538	1
586	37	10
586	647	10
586	675	10
259	605	1
259	162	1
259	112	1
259	299	1
259	126	1
259	319	1
259	838	1
259	822	1
259	683	1
819	467	1
466	798	10
466	445	10
466	532	10
466	436	10
466	505	10
466	227	10
412	311	1
412	707	1
412	279	1
412	132	1
412	871	10
412	674	1
412	818	1
569	254	10
569	86	1
569	594	1
569	890	10
569	284	1
569	836	10
569	810	10
569	728	10
569	561	10
569	522	10
569	608	10
453	328	1
453	718	10
192	833	10
192	318	10
192	675	10
192	612	10
268	151	1
268	254	10
268	552	1
268	890	10
268	836	10
268	413	1
268	745	1
268	561	10
268	522	10
268	608	10
268	553	1
113	723	1
113	408	1
113	57	10
113	856	1
565	280	1
565	498	1
854	241	1
854	230	1
854	833	1
666	709	1
666	868	1
666	475	1
666	744	10
666	286	1
666	325	1
666	298	10
666	762	10
666	472	1
666	623	10
666	127	1
737	314	1
84	30	1
84	182	1
711	707	1
711	279	1
711	674	1
711	413	1
711	745	1
711	818	1
711	553	1
707	283	10
841	455	1
841	132	1
841	12	1
29	283	10
262	37	10
262	23	10
79	657	1
79	811	1
79	468	1
79	420	1
866	417	10
866	4	10
866	701	10
866	299	10
217	493	10
217	463	10
217	876	10
217	40	10
577	777	1
313	798	10
313	532	10
594	844	1
594	535	1
594	304	1
431	798	1
431	475	10
431	690	1
431	837	1
431	223	1
431	4	10
431	500	1
431	488	1
431	426	10
417	129	10
417	176	10
528	657	1
528	788	1
528	811	1
528	468	1
528	102	1
528	231	1
528	558	1
528	420	1
528	874	1
584	796	10
584	5	10
584	60	10
776	784	1
122	144	1
122	715	1
122	376	1
137	311	1
137	700	1
501	844	10
501	618	10
616	211	1
616	689	1
811	616	1
811	811	1
811	43	1
811	815	1
811	500	1
185	716	1
185	345	10
185	401	1
185	931	10
185	351	10
185	152	1
185	349	10
185	291	1
185	618	10
185	898	10
722	353	1
722	671	1
722	763	1
722	935	1
386	530	10
115	570	1
115	366	1
115	84	10
115	363	10
115	488	10
115	741	10
382	140	1
282	272	1
282	19	1
37	927	10
37	732	10
37	740	10
37	563	10
212	118	1
212	272	1
212	516	1
212	624	1
212	399	1
212	897	1
212	67	10
212	445	10
212	361	1
212	721	1
212	561	10
212	806	10
131	534	1
131	130	1
131	413	1
131	653	1
131	702	1
131	275	1
131	898	1
131	822	1
353	324	1
353	903	1
353	552	1
353	224	1
353	0	1
150	929	1
576	616	1
576	764	1
576	623	1
202	671	1
202	250	1
90	217	10
90	417	1
90	798	1
90	690	1
90	837	1
90	223	1
90	500	1
560	431	10
560	501	10
560	23	10
560	273	10
560	5	10
798	11	1
798	88	10
798	812	10
931	920	10
938	248	1
938	311	1
938	707	1
938	490	1
938	279	1
938	712	1
938	674	1
938	413	1
938	745	1
938	553	1
619	709	1
619	868	1
619	844	10
619	286	1
619	922	10
619	325	1
619	472	1
619	686	1
619	704	10
619	127	1
490	327	1
490	78	10
490	480	1
490	12	1
490	762	1
490	658	1
490	779	1
490	886	1
490	514	10
490	842	1
321	868	1
321	475	1
321	325	1
321	472	1
321	686	1
312	22	10
312	473	10
926	79	10
926	678	10
926	132	10
329	270	1
77	722	1
77	39	1
77	756	1
327	296	10
327	811	1
327	470	10
327	123	1
327	376	1
327	835	1
144	568	1
322	317	10
322	423	10
322	81	10
188	9	1
188	84	1
188	715	1
201	277	10
201	249	10
468	788	1
468	616	1
468	185	1
468	500	1
468	867	1
50	698	1
50	280	1
678	42	10
678	755	10
868	678	10
868	475	10
868	668	1
868	132	10
868	914	1
868	792	1
868	81	10
496	556	1
596	540	10
596	89	10
596	110	10
502	309	10
502	560	10
339	91	1
714	12	1
714	260	10
714	886	1
714	930	10
896	572	10
241	575	1
241	757	1
241	686	1
241	849	1
905	431	10
905	501	10
905	355	10
905	434	10
905	190	10
905	934	10
905	290	10
905	318	10
463	386	10
463	169	1
463	49	1
463	664	10
463	395	1
240	441	1
240	392	1
456	463	10
456	583	10
495	652	1
252	583	10
107	214	10
107	811	1
107	382	1
107	94	1
107	298	10
107	658	1
107	779	1
107	70	1
107	370	1
107	842	1
107	226	1
225	272	1
225	516	1
225	624	1
225	897	1
225	361	1
225	721	1
225	199	1
118	319	1
428	835	10
365	11	1
365	224	1
645	3	1
645	657	1
645	446	1
645	645	1
645	894	1
645	890	1
645	437	1
645	375	1
645	481	1
904	666	1
904	619	1
904	321	1
904	602	1
904	270	1
904	242	10
391	507	10
372	603	1
372	843	1
341	695	1
341	84	1
341	534	1
314	648	1
883	657	1
883	624	1
883	375	1
883	481	1
78	695	10
78	560	10
78	88	10
78	430	10
34	707	1
34	644	1
34	715	1
49	614	1
49	77	1
49	701	1
49	204	1
49	114	1
816	453	1
816	594	1
816	284	1
816	377	1
272	8	1
272	363	1
272	725	1
272	346	1
690	586	10
690	327	10
266	623	1
73	931	10
73	351	10
73	349	10
744	267	10
744	799	10
744	872	10
744	302	10
744	897	10
744	128	10
744	578	10
539	115	1
539	867	10
539	499	10
452	764	1
452	445	1
452	859	1
927	491	10
927	632	10
927	212	10
927	490	10
927	476	10
927	679	10
927	595	10
671	827	1
671	459	1
671	477	1
684	282	1
379	578	10
379	337	10
94	788	1
94	185	1
94	815	1
94	867	1
604	843	1
267	657	1
267	866	1
267	811	1
267	468	1
267	179	10
267	420	1
267	92	10
267	414	10
129	921	1
129	832	1
358	786	10
358	311	1
358	707	1
358	596	10
358	196	10
358	413	1
358	406	10
358	745	1
358	818	1
358	48	10
358	553	1
279	248	1
279	115	10
279	773	10
279	490	1
279	624	1
279	712	1
279	22	10
279	818	1
668	417	1
668	798	1
668	223	1
668	500	1
668	488	1
837	373	1
837	254	10
837	700	1
837	890	10
837	836	10
837	124	1
837	810	10
837	728	10
837	522	10
837	458	1
919	353	1
919	798	1
652	827	1
652	477	1
652	721	10
652	835	10
809	499	1
727	254	10
727	890	10
727	522	10
324	268	1
324	821	10
602	937	1
602	579	1
602	573	1
602	758	1
602	381	1
433	642	1
433	259	1
433	399	1
433	242	1
433	251	1
433	153	1
433	246	10
433	852	10
56	242	10
549	31	1
549	870	1
