DbConfig_Id,Use,Type,Folder,Db1,Db2,Db1_Name,Db2_Name
DOOP_Unit_Test_Renamed_Literals,test,DoopProgramAnalysis,Unit-Tests,Basic,Literal-Renaming,BasicMethod,BasicMethod
DOOP_Unit_Test_Renamed_Method,test,DoopProgramAnalysis,Unit-Tests,Basic,Method-Renaming,BasicMethod,Renamed
Unit_Test_Renamed_Method,test,Strukturelle_Unit_Tests,Unit-Tests,Basic,Method-Renaming,BasicMethod,Renamed
Doop_Constants,test,DoopProgramAnalysis,Constants,v1,v2,,
Doop_Simple_Pointer,test,DoopProgramAnalysis,Simple_Pointer,v1,v2,,
Doop_Simple_Java_Calculator,test,DoopProgramAnalysis,Simple_Java_Calculator,v3_0,v3_1_1,,
Doop_Gocd_Websocket_Notifier_v1_v4,test,DoopProgramAnalysis,Gocd_Websocket_Notifier,v1,v4,,
Doop_Gocd_Websocket_Notifier_v4_v1,test,DoopProgramAnalysis,Gocd_Websocket_Notifier,v4,v1,,
Doop_Gocd_Websocket_Notifier_v1_v1_copy,test,DoopProgramAnalysis,Gocd_Websocket_Notifier,v1,v1_copy,,
TestDoubleRow,test,DoopProgramAnalysis,T1,v1,v2,,
Doop_Gocd_Websocket_Notifier_v3_v4,test,DoopProgramAnalysis,Gocd_Websocket_Notifier,v3,v4,,
Unit_Tests_Doublette,test,Strukturelle_Unit_Tests,Doublette_Paradox,v1,v2,,
Unit_Test_Finish_Records,test,Strukturelle_Unit_Tests,Finish_Records,v1,v2,,
Unit_Test_Del_Rec1,test,Strukturelle_Unit_Tests,Test_Del_Record_Tuple1,v1,v2,,
Unit_Test_Del_Rec2,test,Strukturelle_Unit_Tests,Test_Del_Record_Tuple2,v1,v2,,
Unit_Test_Del_Record1,test,Strukturelle_Unit_Tests,Test_Del_Record1,v1,v2,,
Unit_Test_Del_Record2,test,Strukturelle_Unit_Tests,Test_Del_Record2,v1,v2,,
Unit_Test_Del_Record3,test,Strukturelle_Unit_Tests,Test_Del_Record3,v1,v2,,
Unit_Test_Dyn_Max_Cardinality1,test,Strukturelle_Unit_Tests,Test_Dyn_Max_Cardinality1,v1,v2,,
Unit_Test_Dyn_Max_Cardinality2,test,Strukturelle_Unit_Tests,Test_Dyn_Max_Cardinality2,v1,v2,,
Unit_Test_Double_Expansion,test,Strukturelle_Unit_Tests,Test_Double_Expansion,v1,v2,,
Unit_Test_Wrong_Subscription,test,Strukturelle_Unit_Tests,Test_Wrong_Subscription,v1,v2,,
Unit_Test_Expanding_Bad_Record_Tuples,test,Strukturelle_Unit_Tests,Test_Expanding_Bad_Record_Tuples,v1,v2,,
lattice-maven-build-model-_1.0.17_1.0.18.3,eval,DoopProgramAnalysis,lattice-maven-build-model-,1.0.17,1.0.18.3,,
lattice-maven-build-model-_1.0.18.3_1.0.18.7,eval,DoopProgramAnalysis,lattice-maven-build-model-,1.0.18.3,1.0.18.7,,
lattice-maven-build-model-_1.0.17_1.0.18.7,eval,DoopProgramAnalysis,lattice-maven-build-model-,1.0.17,1.0.18.7,,
bit-lib_4j-1.4_4j-1.4.13,eval,DoopProgramAnalysis,bit-lib,4j-1.4,4j-1.4.13,,
bit-lib_4j-1.4.13_4j-1.5.2,eval,DoopProgramAnalysis,bit-lib,4j-1.4.13,4j-1.5.2,,
jamm-_0.3.0_0.3.3,eval,DoopProgramAnalysis,jamm-,0.3.0,0.3.3,,
jamm-_0.3.3_0.4.0,eval,DoopProgramAnalysis,jamm-,0.3.3,0.4.0,,
noark-game-_3.2.0.Final_3.3.0.Final,eval,DoopProgramAnalysis,noark-game-,3.2.0.Final,3.3.0.Final,,
noark-game-_3.3.0.Final_3.4.0-Final,eval,DoopProgramAnalysis,noark-game-,3.3.0.Final,3.4.0-Final,,
lattice-maven-build-model-_1.0.17_1.0.17_copy,structural-evaluation,DoopProgramAnalysis,lattice-maven-build-model-,1.0.17,1.0.17_copy,,
lattice-maven-build-model-_1.0.18.7_1.0.18.7_copy,structural-evaluation,DoopProgramAnalysis,lattice-maven-build-model-,1.0.18.7,1.0.18.7_copy,,
lattice-maven-build-model-_1.0.17_1.0.18.7,eval,DoopProgramAnalysis,lattice-maven-build-model-,1.0.17,1.0.18.7,,
bit-lib_4j-1.4_4j-1.4_copy,structural-evaluation,DoopProgramAnalysis,bit-lib,4j-1.4,4j-1.4_copy,,
bit-lib_4j-1.4.13_4j-1.4.13_copy,structural-evaluation,DoopProgramAnalysis,bit-lib,4j-1.4.13,4j-1.4.13_copy,,
bit-lib_4j-1.5.2_4j-1.5.2_copy,structural-evaluation,DoopProgramAnalysis,bit-lib,4j-1.5.2,4j-1.5.2_copy,,
bit-lib_4j-1.4_4j-1.4.13,eval,DoopProgramAnalysis,bit-lib,4j-1.4,4j-1.4.13,,
bit-lib_4j-1.4_4j-1.5.2,eval,DoopProgramAnalysis,bit-lib,4j-1.4,4j-1.5.2,,
bit-lib_4j-1.4.13_4j-1.5.2,eval,DoopProgramAnalysis,bit-lib,4j-1.4.13,4j-1.5.2,,
jamm-_0.3.0_0.3.0_copy,structural-evaluation,DoopProgramAnalysis,jamm-,0.3.0,0.3.0_copy,,
jamm-_0.3.3_0.3.3_copy,structural-evaluation,DoopProgramAnalysis,jamm-,0.3.3,0.3.3_copy,,
jamm-_0.4.0_0.4.0_copy,structural-evaluation,DoopProgramAnalysis,jamm-,0.4.0,0.4.0_copy,,
jamm-_0.3.0_0.3.3,eval,DoopProgramAnalysis,jamm-,0.3.0,0.3.3,,
jamm-_0.3.0_0.4.0,eval,DoopProgramAnalysis,jamm-,0.3.0,0.4.0,,
jamm-_0.3.3_0.4.0,eval,DoopProgramAnalysis,jamm-,0.3.3,0.4.0,,
noark-game-_3.2.0.Final_3.2.0.Final_copy,structural-evaluation,DoopProgramAnalysis,noark-game-,3.2.0.Final,3.2.0.Final_copy,,
noark-game-_3.3.0.Final_3.3.0.Final_copy,structural-evaluation,DoopProgramAnalysis,noark-game-,3.3.0.Final,3.3.0.Final_copy,,
noark-game-_3.4.0-Final_3.4.0-Final_copy,structural-evaluation,DoopProgramAnalysis,noark-game-,3.4.0-Final,3.4.0-Final_copy,,
noark-game-_3.2.0.Final_3.3.0.Final,eval,DoopProgramAnalysis,noark-game-,3.2.0.Final,3.3.0.Final,,
noark-game-_3.2.0.Final_3.4.0-Final,eval,DoopProgramAnalysis,noark-game-,3.2.0.Final,3.4.0-Final,,
