313	532
313	798
445	10
445	538
445	899
445	466
445	41
445	406
445	376
445	825
29	283
333	470
342	624
342	844
342	475
342	618
342	835
426	176
310	843
310	345
310	634
310	898
310	618
931	920
347	574
347	103
706	49
706	118
758	42
758	351
393	88
596	110
596	89
596	540
42	383
740	595
740	904
740	476
740	490
740	679
740	473
212	445
212	67
212	561
212	806
928	749
928	345
327	296
327	470
37	740
37	927
37	732
37	563
666	744
666	762
666	623
666	298
922	345
922	898
922	618
926	132
926	678
926	79
96	627
96	269
96	25
349	217
575	112
354	110
354	540
354	857
911	290
911	382
312	22
312	473
360	37
360	23
632	129
560	431
560	273
560	501
560	23
560	5
790	29
790	624
790	627
790	207
790	867
260	67
888	88
689	11
617	359
617	663
431	426
431	475
431	4
844	931
844	347
844	349
844	8
844	351
844	747
844	331
584	5
584	60
584	796
826	29
359	609
197	624
197	317
197	214
197	744
197	219
197	456
197	762
197	623
305	29
474	298
317	463
317	522
214	608
214	561
214	728
214	890
214	522
214	254
214	810
586	675
586	37
586	647
896	572
627	260
627	930
627	697
283	426
283	844
283	4
283	618
283	388
647	826
647	502
647	242
647	564
647	142
763	342
704	78
704	345
704	747
704	898
704	331
704	618
479	402
479	192
479	27
568	317
568	416
568	423
568	227
808	212
808	632
808	491
620	63
620	765
620	578
620	533
620	14
837	728
837	836
837	890
837	522
837	254
837	810
608	538
833	727
833	158
273	740
273	927
273	732
273	563
302	92
302	473
925	388
579	228
579	57
112	293
112	747
112	57
112	331
770	166
770	403
30	342
30	412
9	647
9	95
894	96
894	482
894	81
894	531
894	146
894	79
894	319
438	499
930	888
930	47
67	538
67	899
67	61
67	41
153	886
484	666
484	197
484	251
629	681
629	315
646	75
646	932
646	164
110	745
110	555
110	109
868	132
868	475
868	678
868	81
251	310
251	624
251	735
251	469
251	298
744	302
744	578
744	897
744	128
744	872
744	799
744	267
524	272
379	578
379	337
595	387
268	608
268	561
268	836
268	890
268	522
268	254
444	50
292	361
48	739
48	315
486	445
486	227
532	415
532	691
449	931
449	349
449	351
501	844
501	618
415	513
415	769
828	624
205	327
755	179
755	242
755	58
391	507
290	393
290	558
290	229
95	627
95	207
95	416
95	707
23	502
23	564
262	37
262	23
418	412
418	316
418	858
73	931
73	349
73	351
621	560
621	695
621	95
621	904
621	88
886	926
886	894
886	876
886	463
886	160
886	40
886	710
886	493
886	246
886	852
871	317
871	615
871	416
871	81
871	423
871	227
26	900
26	155
26	412
8	347
8	52
550	744
550	735
550	762
550	623
906	214
906	110
502	560
502	309
745	653
104	579
104	818
104	721
104	1
104	835
104	181
263	412
263	55
263	866
399	802
412	871
392	790
392	36
392	539
433	246
433	852
735	579
735	818
735	181
113	57
207	260
207	283
207	930
904	242
899	743
792	310
792	73
792	412
792	858
469	931
469	349
469	351
561	10
561	899
561	466
561	61
561	41
3	100
3	257
728	257
728	356
466	445
466	505
466	532
466	436
466	227
466	798
194	260
194	930
351	920
351	217
875	426
875	721
875	4
192	675
192	833
192	318
192	612
78	560
78	695
78	88
78	430
219	522
219	583
463	664
463	386
467	276
467	605
467	308
296	912
296	864
335	514
749	574
749	355
927	212
927	632
927	595
927	476
927	491
927	490
927	679
650	190
650	290
650	5
650	475
650	318
650	934
650	725
650	355
650	434
364	414
364	418
364	792
364	773
364	249
364	115
378	29
378	469
345	347
345	190
345	431
345	501
345	290
345	8
345	324
345	318
345	934
345	544
345	937
345	434
31	263
31	140
31	315
714	260
714	930
558	596
558	560
558	695
558	95
558	904
558	167
558	430
120	777
682	560
682	695
682	482
682	95
682	904
682	88
682	430
747	743
196	826
196	378
196	513
196	274
196	105
217	876
217	463
217	40
217	493
483	5
203	463
203	160
203	493
836	433
836	126
279	773
279	22
279	115
166	894
166	388
166	427
497	63
497	765
497	337
497	533
497	14
578	670
578	315
634	78
61	78
818	112
57	15
57	770
642	729
642	774
223	482
456	463
456	583
690	327
690	586
88	507
88	290
88	382
88	513
88	105
619	922
619	844
619	704
664	28
664	199
678	42
678	755
859	638
276	922
276	844
276	704
384	358
548	383
179	579
179	818
179	752
179	181
179	152
582	310
582	844
582	185
60	515
60	525
60	628
732	212
732	632
732	595
732	904
732	491
732	679
732	473
476	363
476	741
476	488
498	418
498	792
498	249
498	22
417	129
417	176
381	928
381	335
727	890
727	522
727	254
374	5
374	60
374	796
416	406
416	376
416	825
386	530
491	445
491	67
491	561
491	806
491	129
103	293
158	608
158	104
158	561
158	728
158	836
158	156
158	810
158	914
269	431
269	501
269	475
358	596
358	48
358	196
358	406
358	786
762	302
762	570
762	872
762	799
762	267
490	78
490	514
812	89
513	354
513	221
513	665
167	826
167	378
167	274
167	857
41	699
41	700
274	469
274	929
124	919
124	298
56	242
707	283
174	468
174	217
509	277
509	249
36	624
36	499
177	423
470	234
890	134
522	134
522	568
522	152
522	233
897	263
897	140
697	642
697	803
696	190
696	431
696	501
696	290
696	318
696	355
696	434
242	136
242	935
741	907
377	280
348	515
348	525
281	423
898	347
898	8
898	355
324	821
531	269
531	25
90	217
663	642
663	803
406	165
406	263
406	140
406	470
564	712
806	10
806	538
806	466
806	61
105	802
830	507
830	647
830	95
245	9
245	166
117	426
117	39
117	4
277	412
277	858
186	190
186	431
186	501
186	290
186	934
186	355
186	434
848	342
848	155
331	700
146	627
4	763
4	26
4	129
145	431
145	501
145	60
145	796
237	876
237	160
237	40
878	745
881	132
881	482
881	678
881	81
717	352
254	568
254	233
74	100
182	596
182	196
182	555
769	802
769	545
665	926
665	894
665	710
436	790
929	136
929	152
929	935
66	110
66	358
159	52
796	728
796	281
796	352
525	881
249	310
249	73
249	316
542	48
287	296
287	470
674	672
710	132
710	96
710	678
710	531
710	146
710	319
934	112
618	345
618	898
618	324
618	618
618	544
618	937
618	355
128	263
128	140
128	670
520	579
520	818
520	136
520	181
520	935
493	501
47	316
403	647
403	95
403	475
403	107
428	835
224	310
224	744
224	469
224	762
224	623
623	578
623	570
623	897
623	128
858	392
858	509
453	718
423	583
679	283
679	403
691	828
691	117
905	190
905	431
905	501
905	290
905	318
905	934
905	355
905	434
656	95
656	904
656	88
656	430
583	165
583	42
866	701
866	417
866	4
866	299
729	568
729	414
729	292
729	871
729	322
729	325
670	8
670	749
472	775
544	196
544	812
544	25
544	821
303	786
303	555
563	212
563	632
563	904
563	476
563	491
563	490
563	473
860	165
860	351
768	928
768	335
797	919
760	132
760	482
760	678
488	907
322	317
322	81
322	423
227	61
