<Animal: Animal playWith(Animal)>	playWith	Animal	Animal	Animal	(LAnimal;)LAnimal;	1	10
<Animal: Animal playWith(Animal)>	playWith	Animal	Animal	Animal	(LAnimal;)LAnimal;	new_var_14	1
<Animal: void <init>()>	<init>		Animal	void	()V	0	10
<Animal: void <init>()>	<init>		Animal	void	()V	new_var_13	1
<Animal: void play()>	play		Animal	void	()V	0	10
<Animal: void play()>	play		Animal	void	()V	new_var_13	1
<Cat: Cat getParent()>	getParent		Cat	Cat	()LCat;	0	10
<Cat: Cat getParent()>	getParent		Cat	Cat	()LCat;	new_var_13	1
<Cat: void <init>()>	<init>		Cat	void	()V	0	10
<Cat: void <init>()>	<init>		Cat	void	()V	new_var_13	1
<Cat: void play()>	play		Cat	void	()V	0	10
<Cat: void play()>	play		Cat	void	()V	new_var_13	1
<Cat: void setParent(Cat)>	setParent	Cat	Cat	void	(LCat;)V	1	10
<Cat: void setParent(Cat)>	setParent	Cat	Cat	void	(LCat;)V	new_var_14	1
<Dog: void <init>()>	<init>		Dog	void	()V	0	10
<Dog: void <init>()>	<init>		Dog	void	()V	new_var_13	1
<Dog: void play()>	play		Dog	void	()V	0	10
<Dog: void play()>	play		Dog	void	()V	new_var_13	1
<Simple_Pointer: void <init>()>	<init>		Simple_Pointer	void	()V	0	10
<Simple_Pointer: void <init>()>	<init>		Simple_Pointer	void	()V	new_var_13	1
<Simple_Pointer: void main(java.lang.String[])>	main	java.lang.String[]	Simple_Pointer	void	([Ljava/lang/String;)V	1	10
<Simple_Pointer: void main(java.lang.String[])>	main	java.lang.String[]	Simple_Pointer	void	([Ljava/lang/String;)V	new_var_14	1
<Simple_Pointer: void morePlay(Cat)>	morePlay	Cat	Simple_Pointer	void	(LCat;)V	1	10
<Simple_Pointer: void morePlay(Cat)>	morePlay	Cat	Simple_Pointer	void	(LCat;)V	new_var_14	1
<Simple_Pointer: void sanitize(java.lang.Object)>	sanitize	java.lang.Object	Simple_Pointer	void	(Ljava/lang/Object;)V	1	10
<Simple_Pointer: void sanitize(java.lang.Object)>	sanitize	java.lang.Object	Simple_Pointer	void	(Ljava/lang/Object;)V	new_var_14	1
<Simple_Pointer: void test(int)>	test	int	Simple_Pointer	void	(I)V	1	10
<Simple_Pointer: void test(int)>	test	int	Simple_Pointer	void	(I)V	new_var_14	1
