716	427
269	425
659	675
18	39
191	875
247	274
826	878
163	410
576	203
604	20
779	731
130	544
460	538
479	19
839	72
702	768
309	188
405	884
493	241
531	171
444	901
75	801
649	34
163	676
7	275
892	84
461	105
212	335
539	711
180	36
466	90
590	826
440	702
191	123
932	458
708	163
891	854
755	832
315	622
13	441
291	809
446	342
694	631
461	502
124	216
183	726
39	919
622	138
121	842
165	791
643	885
71	813
318	6
554	81
661	329
867	570
705	799
256	306
138	704
676	822
651	825
623	432
601	514
648	784
197	16
367	102
119	147
28	695
257	352
326	740
591	408
658	820
349	550
237	661
305	887
70	226
482	608
55	911
499	478
894	59
936	350
408	142
796	650
469	691
141	641
806	908
490	297
54	111
170	305
175	148
630	388
415	693
702	401
902	621
154	238
458	476
473	503
463	652
796	889
266	368
635	323
715	914
359	329
783	877
378	536
666	501
854	295
815	318
535	810
928	700
809	169
507	654
762	596
356	116
535	159
98	17
626	115
292	502
660	575
634	587
856	117
253	260
542	568
629	149
77	219
442	465
589	832
563	331
594	184
887	139
805	100
938	711
256	470
928	779
712	320
894	610
398	430
271	732
90	424
298	880
121	692
426	6
133	921
888	151
262	678
419	474
401	82
798	693
824	182
226	557
59	76
421	16
285	180
810	802
738	364
783	670
638	193
95	607
652	31
783	140
462	198
258	13
643	226
306	796
24	75
593	472
869	473
873	9
351	739
204	180
732	774
914	499
919	349
682	741
739	534
542	96
421	676
529	322
781	459
417	102
297	606
763	340
612	318
614	34
126	215
394	194
68	202
31	295
326	386
396	57
869	302
852	886
858	522
704	455
813	48
904	881
519	325
716	374
702	525
160	537
565	640
840	420
645	894
136	622
927	880
268	146
589	536
641	846
669	846
79	527
849	939
44	56
280	516
610	270
676	608
286	161
740	175
472	394
137	900
690	380
137	745
25	318
912	935
18	685
611	892
45	411
154	763
387	161
41	802
849	701
808	266
194	388
362	17
123	434
174	572
834	535
765	874
648	354
493	196
627	798
33	332
260	858
514	106
18	901
151	574
627	411
32	44
334	300
129	939
65	433
390	917
134	152
618	535
404	169
123	558
598	677
105	831
383	482
532	565
597	532
731	795
776	197
659	267
213	337
78	346
869	383
614	505
546	713
114	498
99	605
58	226
539	602
623	834
779	331
509	307
138	478
609	554
675	520
456	619
301	536
105	208
241	419
323	38
623	685
178	232
818	473
599	536
184	702
689	26
502	939
376	755
0	339
14	923
500	477
379	50
758	773
481	855
44	604
553	875
174	215
875	165
322	859
519	938
793	489
18	765
190	755
432	747
654	272
643	924
789	869
922	327
576	335
133	231
871	192
230	516
151	765
784	352
192	432
28	397
841	75
114	120
682	461
608	429
931	152
192	13
56	289
120	184
627	57
669	90
912	778
250	292
692	449
717	538
270	105
67	483
315	251
834	392
247	60
611	712
205	145
97	745
391	677
770	902
841	409
842	305
405	339
356	474
100	345
923	466
215	747
640	419
155	773
686	469
342	583
183	240
143	699
617	206
863	662
627	183
805	272
747	436
801	554
834	90
512	910
161	188
113	325
160	12
936	70
315	725
930	142
273	338
140	13
255	677
71	616
829	673
96	82
79	450
163	103
774	270
684	872
364	516
669	584
862	444
285	358
659	287
29	361
120	692
76	99
497	760
142	908
334	523
426	883
920	527
900	580
339	499
546	526
336	218
183	379
590	74
321	68
202	466
305	217
132	263
827	488
939	134
934	5
694	236
319	902
924	30
376	172
539	555
800	206
925	139
703	760
36	152
386	574
687	30
709	11
60	101
446	35
390	442
784	169
415	109
709	46
203	462
596	355
782	545
709	895
822	407
401	225
778	177
286	18
236	128
319	663
569	870
781	76
757	729
285	626
425	632
502	892
236	767
349	729
54	741
886	657
23	541
814	755
30	734
713	935
220	811
352	69
269	318
672	646
809	929
754	878
136	477
508	601
82	633
888	423
638	515
402	754
608	94
556	224
99	574
111	351
856	669
414	294
73	489
99	361
426	602
844	591
