<Animal: Animal playWith(Animal)>/Animal.play/0	54	10
<Animal: Animal playWith(Animal)>/Animal.play/0	new_var_31	1
<Animal: void <init>()>/java.lang.Object.<init>/0	49	10
<Animal: void <init>()>/java.lang.Object.<init>/0	new_var_30	1
<Cat: void <init>()>/Animal.<init>/0	59	10
<Cat: void <init>()>/Animal.<init>/0	new_var_33	1
<Dog: void <init>()>/Animal.<init>/0	73	10
<Dog: void <init>()>/Animal.<init>/0	new_var_35	1
<Simple_Pointer: void <init>()>/java.lang.Object.<init>/0	5	10
<Simple_Pointer: void <init>()>/java.lang.Object.<init>/0	new_var_29	1
<Simple_Pointer: void main(java.lang.String[])>/Simple_Pointer.<init>/0	8	10
<Simple_Pointer: void main(java.lang.String[])>/Simple_Pointer.<init>/0	new_var_36	1
<Simple_Pointer: void main(java.lang.String[])>/Simple_Pointer.sanitize/0	13	0
<Simple_Pointer: void main(java.lang.String[])>/Simple_Pointer.test/0	8	10
<Simple_Pointer: void main(java.lang.String[])>/Simple_Pointer.test/0	new_var_36	1
<Simple_Pointer: void main(java.lang.String[])>/java.io.BufferedReader.<init>/0	9	10
<Simple_Pointer: void main(java.lang.String[])>/java.io.BufferedReader.<init>/0	new_var_37	1
<Simple_Pointer: void main(java.lang.String[])>/java.io.BufferedReader.readLine/0	12	0
<Simple_Pointer: void main(java.lang.String[])>/java.io.InputStreamReader.<init>/0	9	10
<Simple_Pointer: void main(java.lang.String[])>/java.io.InputStreamReader.<init>/0	new_var_37	1
<Simple_Pointer: void main(java.lang.String[])>/java.io.PrintStream.println/0	16	0
<Simple_Pointer: void main(java.lang.String[])>/java.lang.StringBuilder.<init>/0	14	0
<Simple_Pointer: void main(java.lang.String[])>/java.lang.StringBuilder.append/0	14	0
<Simple_Pointer: void main(java.lang.String[])>/java.lang.StringBuilder.append/1	14	0
<Simple_Pointer: void main(java.lang.String[])>/java.lang.StringBuilder.toString/0	14	0
<Simple_Pointer: void morePlay(Cat)>/Cat.getParent/0	38	10
<Simple_Pointer: void morePlay(Cat)>/Cat.getParent/0	new_var_25	1
<Simple_Pointer: void morePlay(Cat)>/Cat.play/0	39	10
<Simple_Pointer: void morePlay(Cat)>/Cat.play/0	new_var_26	1
<Simple_Pointer: void morePlay(Cat)>/Cat.playWith/0	41	10
<Simple_Pointer: void morePlay(Cat)>/Cat.playWith/0	new_var_27	1
<Simple_Pointer: void morePlay(Cat)>/Cat.playWith/1	42	10
<Simple_Pointer: void morePlay(Cat)>/Cat.playWith/1	new_var_28	1
<Simple_Pointer: void test(int)>/Animal.play/0	30	10
<Simple_Pointer: void test(int)>/Animal.play/0	new_var_19	1
<Simple_Pointer: void test(int)>/Cat.<init>/0	26	10
<Simple_Pointer: void test(int)>/Cat.<init>/0	new_var_16	1
<Simple_Pointer: void test(int)>/Cat.<init>/1	32	10
<Simple_Pointer: void test(int)>/Cat.<init>/1	new_var_20	1
<Simple_Pointer: void test(int)>/Dog.<init>/0	28	10
<Simple_Pointer: void test(int)>/Dog.<init>/0	new_var_17	1
<Simple_Pointer: void test(int)>/Simple_Pointer.morePlay/0	34	10
<Simple_Pointer: void test(int)>/Simple_Pointer.morePlay/0	new_var_23	1
new_var_40	new_var_21	1
new_var_41	new_var_22	1
